ds,y
4/25/2008,3044
4/26/2008,2515
4/27/2008,2270
4/28/2008,2530
4/29/2008,2052
4/30/2008,2089
5/1/2008,1898
5/2/2008,1704
5/3/2008,1180
5/4/2008,1126
5/5/2008,1623
5/6/2008,1470
5/7/2008,1574
5/8/2008,1831
5/9/2008,1738
5/10/2008,1230
5/11/2008,1243
5/12/2008,1730
5/13/2008,1506
5/14/2008,1653
5/15/2008,1640
5/16/2008,1472
5/17/2008,1085
5/18/2008,1089
5/19/2008,1688
5/20/2008,1575
5/21/2008,1728
5/22/2008,1585
5/23/2008,1266
5/24/2008,930
5/25/2008,983
5/26/2008,1069
5/27/2008,1431
5/28/2008,1437
5/29/2008,1430
5/30/2008,1284
5/31/2008,959
6/3/2008,1279
6/4/2008,1362
6/5/2008,1342
6/6/2008,1356
6/7/2008,1321
6/8/2008,916
6/9/2008,975
6/10/2008,1317
6/11/2008,1398
6/12/2008,1330
6/13/2008,1318
6/14/2008,1065
6/15/2008,1010
6/16/2008,1370
6/17/2008,1567
6/18/2008,1398
6/19/2008,1371
6/20/2008,1291
6/21/2008,1396
6/22/2008,1082
6/23/2008,1057
6/24/2008,1409
6/25/2008,1288
6/26/2008,1252
6/27/2008,1202
6/28/2008,1110
6/29/2008,951
6/30/2008,923
7/2/2008,1249
7/3/2008,1447
7/4/2008,1140
7/5/2008,983
7/6/2008,1051
7/7/2008,1474
7/8/2008,1803
7/9/2008,1496
7/10/2008,1346
7/11/2008,1370
7/12/2008,1419
8/1/2008,1679
8/2/2008,1233
8/3/2008,1408
8/4/2008,3932
8/5/2008,2011
8/6/2008,2088
8/7/2008,3018
8/8/2008,2780
8/9/2008,1824
8/10/2008,1847
8/11/2008,1978
8/12/2008,1809
8/13/2008,1588
8/14/2008,1612
8/15/2008,1484
8/16/2008,1444
8/17/2008,1623
8/18/2008,1839
8/19/2008,2722
8/20/2008,2260
8/21/2008,2144
8/22/2008,2057
8/23/2008,1687
8/24/2008,1958
8/25/2008,2831
8/26/2008,2430
8/27/2008,3003
8/28/2008,2418
8/29/2008,2522
8/30/2008,1835
8/31/2008,2054
9/1/2008,2579
9/2/2008,2878
9/3/2008,2312
9/4/2008,3232
9/5/2008,3866
9/6/2008,2368
9/7/2008,3560
9/8/2008,10740
9/9/2008,4182
9/10/2008,2516
9/11/2008,2462
9/12/2008,2482
9/13/2008,1910
9/14/2008,5193
9/15/2008,3670
9/16/2008,3241
9/17/2008,2419
9/18/2008,2145
9/19/2008,2080
9/20/2008,1901
9/21/2008,3825
9/22/2008,4040
9/23/2008,3384
9/24/2008,2222
9/25/2008,2130
9/26/2008,1857
9/27/2008,2768
9/28/2008,2756
9/29/2008,3084
9/30/2008,2266
10/1/2008,2196
10/2/2008,1719
10/3/2008,1622
10/4/2008,1550
10/5/2008,3299
10/6/2008,3486
10/7/2008,2896
10/8/2008,2625
10/9/2008,2070
10/10/2008,1974
10/11/2008,1544
10/12/2008,3560
10/13/2008,4192
10/14/2008,4801
10/15/2008,2627
10/16/2008,2247
10/17/2008,1791
10/18/2008,1597
10/19/2008,3215
10/20/2008,3517
10/23/2008,1969
10/24/2008,2013
10/25/2008,1433
10/26/2008,3103
10/27/2008,3325
10/28/2008,6680
10/29/2008,2315
10/30/2008,1774
10/31/2008,1551
11/1/2008,1404
11/2/2008,2802
11/3/2008,8397
11/4/2008,3106
11/5/2008,1646
11/6/2008,2904
11/7/2008,2364
11/8/2008,1757
11/9/2008,3072
11/10/2008,6182
11/11/2008,2799
11/12/2008,2133
11/13/2008,1959
11/14/2008,2232
11/15/2008,1424
11/16/2008,3123
11/17/2008,3273
11/18/2008,2362
11/19/2008,1802
11/20/2008,1905
11/21/2008,1803
11/22/2008,1499
11/23/2008,2804
11/24/2008,8593
11/25/2008,3620
11/26/2008,1843
11/27/2008,1903
11/28/2008,2239
11/29/2008,2010
11/30/2008,4910
12/1/2008,3991
12/2/2008,2683
12/3/2008,2417
12/4/2008,2112
12/5/2008,2019
12/6/2008,1865
12/7/2008,3757
12/8/2008,3001
12/9/2008,2588
12/10/2008,2202
12/11/2008,1990
12/12/2008,2289
12/13/2008,1558
12/14/2008,3076
12/15/2008,4422
12/16/2008,2499
12/17/2008,3251
12/18/2008,2372
12/19/2008,5937
12/20/2008,2315
12/21/2008,2866
12/22/2008,5567
12/23/2008,2971
12/24/2008,2040
12/25/2008,1689
12/26/2008,1742
12/27/2008,1718
12/28/2008,3833
12/29/2008,5194
12/30/2008,4088
12/31/2008,4064
1/1/2009,2342
1/2/2009,6689
1/3/2009,9154
1/4/2009,25689
1/5/2009,10592
1/6/2009,4602
1/7/2009,3421
1/8/2009,3118
1/9/2009,3748
1/10/2009,3433
1/11/2009,10053
1/12/2009,6203
1/13/2009,4965
1/14/2009,3308
1/15/2009,2836
1/16/2009,2571
1/17/2009,2114
1/18/2009,3116
1/19/2009,6641
1/20/2009,2514
1/21/2009,2386
1/22/2009,2794
1/23/2009,2148
1/24/2009,1617
1/25/2009,1829
1/26/2009,2129
1/27/2009,2415
1/28/2009,2460
1/29/2009,2502
1/30/2009,2715
1/31/2009,2213
2/1/2009,4806
2/2/2009,9410
2/3/2009,3172
2/4/2009,3186
2/5/2009,3164
2/6/2009,3132
2/7/2009,2350
2/8/2009,3287
2/9/2009,3036
2/10/2009,2032
2/11/2009,2547
2/12/2009,2365
2/13/2009,1864
2/14/2009,1529
2/15/2009,1372
2/16/2009,1663
2/17/2009,1681
2/18/2009,1632
2/19/2009,1800
2/20/2009,1635
2/21/2009,1106
2/22/2009,1234
2/23/2009,1779
2/24/2009,1942
2/25/2009,2097
2/26/2009,1762
2/27/2009,1759
2/28/2009,1355
3/1/2009,1546
3/2/2009,1776
3/3/2009,1654
3/4/2009,1641
3/5/2009,1725
3/6/2009,1675
3/7/2009,1194
3/8/2009,1354
3/9/2009,1566
3/10/2009,1487
3/11/2009,1747
3/12/2009,2615
3/13/2009,1406
3/14/2009,1186
3/15/2009,1368
3/16/2009,1532
3/17/2009,1469
3/18/2009,1479
3/19/2009,1456
3/20/2009,1483
3/21/2009,1167
3/22/2009,1315
3/23/2009,1818
3/24/2009,2630
3/25/2009,1956
3/26/2009,1583
3/27/2009,1418
3/28/2009,1160
3/29/2009,1813
3/30/2009,1708
3/31/2009,1775
4/1/2009,1776
4/2/2009,1843
4/3/2009,2121
4/4/2009,1400
4/5/2009,1384
4/6/2009,1544
4/7/2009,1671
4/8/2009,1794
4/9/2009,1503
4/10/2009,1263
4/11/2009,1107
4/12/2009,1197
4/13/2009,1487
4/14/2009,1595
4/15/2009,1831
4/16/2009,1840
4/17/2009,1594
4/18/2009,1263
4/19/2009,1289
4/20/2009,1781
4/21/2009,1831
4/22/2009,1711
4/23/2009,1762
4/24/2009,2147
4/25/2009,2546
4/26/2009,2763
4/27/2009,2511
4/28/2009,1972
4/29/2009,2059
4/30/2009,2230
5/1/2009,1857
5/2/2009,1331
5/3/2009,1419
5/4/2009,1727
5/5/2009,1775
5/6/2009,1918
5/7/2009,1711
5/8/2009,1537
5/9/2009,1256
5/10/2009,1194
5/11/2009,1440
5/12/2009,1828
5/13/2009,1806
5/14/2009,1710
5/15/2009,1641
5/16/2009,1009
5/17/2009,1072
5/18/2009,1777
5/19/2009,1659
5/20/2009,1591
5/21/2009,1531
5/22/2009,1628
5/23/2009,1137
5/24/2009,967
5/25/2009,1080
5/26/2009,1730
5/27/2009,1799
5/28/2009,1527
5/29/2009,1218
5/30/2009,1090
5/31/2009,1023
6/1/2009,1364
6/2/2009,1765
6/3/2009,1579
6/4/2009,1394
6/5/2009,1494
6/6/2009,1260
6/7/2009,1067
6/8/2009,1324
6/9/2009,1533
6/10/2009,1532
6/11/2009,1690
6/12/2009,1622
6/13/2009,1055
6/14/2009,1121
6/15/2009,1358
6/16/2009,1826
6/17/2009,1523
6/18/2009,1802
6/19/2009,1340
6/20/2009,1193
6/21/2009,1273
6/22/2009,1417
6/23/2009,1337
6/24/2009,1464
6/25/2009,1247
6/26/2009,1191
6/27/2009,918
6/28/2009,1041
6/29/2009,1227
6/30/2009,1339
7/1/2009,1506
7/2/2009,1210
7/3/2009,1147
7/4/2009,1487
7/5/2009,2425
7/6/2009,2454
7/7/2009,1778
7/8/2009,1567
7/9/2009,1821
7/10/2009,1596
7/11/2009,1335
7/12/2009,1371
7/13/2009,1560
7/14/2009,1506
7/15/2009,1710
7/16/2009,1565
7/17/2009,1517
7/18/2009,1359
7/19/2009,1457
7/20/2009,1882
7/21/2009,1763
7/22/2009,2513
7/23/2009,2167
7/24/2009,2275
7/25/2009,1485
7/26/2009,1454
7/27/2009,1782
7/28/2009,2036
7/29/2009,2195
7/30/2009,1881
7/31/2009,1700
8/1/2009,1442
8/2/2009,1565
8/3/2009,2118
8/4/2009,2549
8/5/2009,4309
8/6/2009,3541
8/7/2009,2469
8/8/2009,1949
8/9/2009,2119
8/10/2009,2608
8/11/2009,2395
8/12/2009,2333
8/13/2009,2228
8/14/2009,3667
8/15/2009,2234
8/16/2009,2286
8/17/2009,2886
8/18/2009,4464
8/19/2009,3995
8/20/2009,2938
8/21/2009,5836
8/22/2009,2398
8/23/2009,2409
8/24/2009,2826
8/25/2009,3546
8/26/2009,2464
8/27/2009,2448
8/28/2009,3138
8/29/2009,2902
8/30/2009,2615
8/31/2009,3507
9/1/2009,3103
9/2/2009,2874
9/3/2009,2536
9/4/2009,2733
9/5/2009,2845
9/6/2009,3217
9/7/2009,2929
9/8/2009,3390
9/9/2009,2849
9/10/2009,3328
9/11/2009,3691
9/12/2009,3124
9/13/2009,7512
9/14/2009,5526
9/15/2009,5012
9/16/2009,3024
9/17/2009,3158
9/18/2009,3309
9/19/2009,2963
9/20/2009,4591
9/21/2009,16953
9/22/2009,26370
9/24/2009,4281
9/28/2009,20928
9/29/2009,6368
9/30/2009,3834
10/1/2009,3225
10/2/2009,3546
10/3/2009,2668
10/4/2009,8954
10/5/2009,12168
10/6/2009,9551
10/7/2009,4853
10/8/2009,4589
10/9/2009,3935
10/10/2009,4073
10/11/2009,6569
10/12/2009,29145
10/13/2009,8741
10/17/2009,5998
10/18/2009,8836
10/19/2009,7055
10/20/2009,5138
10/21/2009,4664
10/22/2009,3838
10/23/2009,3327
10/24/2009,3418
10/25/2009,6166
10/26/2009,11881
10/27/2009,5315
10/28/2009,3785
10/29/2009,3369
10/30/2009,3150
10/31/2009,2521
11/1/2009,7314
11/2/2009,6159
11/3/2009,5240
11/4/2009,3711
11/5/2009,3455
11/6/2009,2985
11/7/2009,2415
11/8/2009,6714
11/9/2009,8121
11/10/2009,5394
11/11/2009,3952
11/12/2009,4746
11/13/2009,4889
11/14/2009,4470
11/16/2009,38511
11/17/2009,9178
11/18/2009,6197
11/19/2009,5059
11/20/2009,4940
11/21/2009,3930
11/23/2009,9172
11/24/2009,5356
11/25/2009,4087
11/26/2009,5774
11/27/2009,7523
11/28/2009,4635
11/29/2009,10176
11/30/2009,10559
12/1/2009,10667
12/2/2009,4416
12/3/2009,5352
12/4/2009,4554
12/5/2009,4179
12/6/2009,8602
12/7/2009,10919
12/8/2009,6386
12/9/2009,4952
12/10/2009,4444
12/11/2009,5032
12/12/2009,4357
12/13/2009,8876
12/14/2009,17361
12/15/2009,7552
12/16/2009,5068
12/17/2009,5362
12/18/2009,17995
12/19/2009,5795
12/20/2009,9627
12/21/2009,9911
12/22/2009,11277
12/23/2009,5911
12/24/2009,4927
12/25/2009,3979
12/26/2009,4016
12/27/2009,9537
12/28/2009,14016
12/29/2009,8244
12/30/2009,6535
12/31/2009,4388
1/1/2010,4165
1/2/2010,5095
1/3/2010,6055
1/4/2010,6186
1/5/2010,4340
1/6/2010,4101
1/7/2010,4743
1/8/2010,5417
1/9/2010,7501
1/10/2010,13249
1/11/2010,9998
1/12/2010,5872
1/13/2010,5444
1/14/2010,5511
1/15/2010,5761
1/16/2010,6499
1/17/2010,60351
1/18/2010,17210
1/19/2010,10149
1/20/2010,8248
1/21/2010,7608
1/22/2010,8179
1/25/2010,97155
1/26/2010,28688
1/27/2010,16227
1/28/2010,12587
1/29/2010,11542
1/30/2010,10183
1/31/2010,10981
2/1/2010,28006
2/2/2010,20251
2/3/2010,24625
2/4/2010,19122
2/5/2010,24810
2/6/2010,22039
2/7/2010,72508
2/9/2010,35008
2/10/2010,15585
2/11/2010,9134
2/12/2010,6606
2/13/2010,4668
2/14/2010,3892
2/15/2010,3709
2/16/2010,3799
2/17/2010,3005
2/18/2010,3119
2/19/2010,2776
2/20/2010,2310
2/21/2010,2608
2/22/2010,2812
2/24/2010,4066
2/25/2010,2510
2/26/2010,2627
2/27/2010,2338
2/28/2010,2267
3/1/2010,2381
3/2/2010,2429
3/3/2010,2321
3/4/2010,3191
3/5/2010,6160
3/6/2010,2110
3/7/2010,2005
3/8/2010,2329
3/9/2010,2369
3/10/2010,2062
3/11/2010,1889
3/12/2010,2007
3/13/2010,1967
3/14/2010,1828
3/15/2010,2153
3/16/2010,2237
3/17/2010,2212
3/18/2010,2076
3/19/2010,1925
3/20/2010,1642
3/21/2010,1748
3/22/2010,2023
3/23/2010,2445
3/24/2010,3068
3/25/2010,2276
3/26/2010,2079
3/27/2010,1926
3/28/2010,1784
3/29/2010,1822
3/30/2010,2109
3/31/2010,2024
4/1/2010,1727
4/2/2010,1583
4/3/2010,1725
4/4/2010,1770
4/5/2010,2937
4/6/2010,2494
4/7/2010,2123
4/8/2010,1919
4/9/2010,1952
4/10/2010,1720
4/11/2010,1806
4/12/2010,1837
4/13/2010,2015
4/14/2010,1971
4/15/2010,2166
4/16/2010,2404
4/17/2010,1905
4/18/2010,1996
4/19/2010,2097
4/20/2010,2143
4/21/2010,2580
4/22/2010,3283
4/23/2010,7488
4/24/2010,4441
4/25/2010,2946
4/26/2010,2989
4/27/2010,3207
4/28/2010,2931
4/29/2010,2556
4/30/2010,2408
5/1/2010,1711
5/2/2010,1886
5/3/2010,2085
5/4/2010,2103
5/5/2010,1829
5/6/2010,2158
5/7/2010,2955
5/8/2010,1706
5/9/2010,1610
5/10/2010,2010
5/11/2010,1972
5/12/2010,2041
5/13/2010,1474
5/14/2010,1788
5/15/2010,1441
5/16/2010,1551
5/17/2010,1761
5/18/2010,1565
5/19/2010,1378
5/20/2010,1631
5/21/2010,1764
5/22/2010,1652
5/23/2010,1550
5/24/2010,1649
5/25/2010,1610
5/26/2010,1605
5/27/2010,1348
5/28/2010,1204
5/29/2010,1224
5/30/2010,1159
5/31/2010,1232
6/1/2010,1329
6/2/2010,1407
6/3/2010,1668
6/4/2010,1924
6/5/2010,1691
6/6/2010,1459
6/7/2010,2795
6/8/2010,8263
6/9/2010,1374
6/10/2010,1127
6/11/2010,897
6/12/2010,232
6/13/2010,205
6/14/2010,193
6/15/2010,548
6/16/2010,775
6/17/2010,1366
6/18/2010,1617
6/19/2010,1260
6/20/2010,1145
6/21/2010,1348
6/22/2010,1130
6/23/2010,1105
6/24/2010,1011
6/25/2010,977
6/27/2010,463
6/29/2010,1348
6/30/2010,1258
7/1/2010,1158
7/2/2010,1227
7/3/2010,1019
7/4/2010,911
7/6/2010,1564
7/11/2010,1251
7/12/2010,1185
7/13/2010,1397
7/14/2010,1404
7/15/2010,2093
7/16/2010,1731
7/17/2010,1495
7/18/2010,1391
7/19/2010,1444
7/20/2010,1753
7/21/2010,1721
7/22/2010,3386
7/23/2010,2380
7/24/2010,1847
7/25/2010,1900
7/26/2010,2835
7/27/2010,2435
7/28/2010,2440
7/29/2010,2698
7/30/2010,2587
7/31/2010,2812
8/1/2010,2146
8/2/2010,3413
8/3/2010,5930
8/4/2010,4690
8/5/2010,3180
8/6/2010,3009
8/7/2010,2637
8/8/2010,2579
8/9/2010,3432
8/10/2010,2755
8/11/2010,2895
8/12/2010,2879
8/13/2010,3411
8/14/2010,2437
8/15/2010,4055
8/16/2010,3947
8/17/2010,6276
8/18/2010,5385
8/19/2010,4631
8/20/2010,4963
8/21/2010,4252
8/22/2010,3948
8/23/2010,4631
8/24/2010,4080
8/25/2010,3232
8/26/2010,3590
8/27/2010,7022
8/28/2010,3207
8/29/2010,3434
8/30/2010,3597
8/31/2010,3345
9/1/2010,3495
9/2/2010,3657
9/3/2010,3964
9/4/2010,3238
9/5/2010,3811
9/6/2010,3722
9/7/2010,4681
9/8/2010,5177
9/9/2010,5570
9/10/2010,9246
9/11/2010,4188
9/12/2010,19268
9/13/2010,10623
9/14/2010,6450
9/15/2010,4889
9/16/2010,5521
9/17/2010,7691
9/18/2010,8741
9/19/2010,13366
9/20/2010,91684
9/21/2010,10889
9/22/2010,5526
9/23/2010,4803
9/24/2010,4137
9/25/2010,4039
9/26/2010,11276
9/27/2010,12285
9/28/2010,7502
9/29/2010,4656
9/30/2010,4069
10/1/2010,3907
10/2/2010,3647
10/3/2010,8183
10/4/2010,11038
10/5/2010,9214
10/6/2010,4663
10/7/2010,3844
10/8/2010,4125
10/9/2010,3304
10/10/2010,9505
10/11/2010,6982
10/12/2010,13913
10/13/2010,4868
10/14/2010,5243
10/15/2010,4240
10/16/2010,3309
10/17/2010,9446
10/18/2010,23749
10/19/2010,6112
10/20/2010,4208
10/21/2010,3878
10/22/2010,3851
10/23/2010,3007
10/24/2010,5063
10/25/2010,7054
10/26/2010,17839
10/27/2010,4916
10/28/2010,4472
10/29/2010,7663
10/30/2010,7091
10/31/2010,8222
11/1/2010,9229
11/2/2010,28184
11/3/2010,5376
11/4/2010,5714
11/5/2010,6511
11/6/2010,4159
11/7/2010,8670
11/8/2010,13675
11/9/2010,6063
11/10/2010,4320
11/11/2010,4349
11/12/2010,4449
11/13/2010,3579
11/14/2010,7151
11/15/2010,10000
11/16/2010,6091
11/17/2010,4095
11/18/2010,5215
11/19/2010,5457
11/20/2010,6209
11/21/2010,13913
11/22/2010,25892
11/23/2010,6746
11/24/2010,4081
11/25/2010,6067
11/26/2010,6271
11/27/2010,4413
11/28/2010,10206
11/29/2010,28456
11/30/2010,7434
12/1/2010,5712
12/2/2010,4403
12/3/2010,4061
12/4/2010,3723
12/5/2010,10747
12/6/2010,20386
12/7/2010,9594
12/8/2010,6300
12/9/2010,6735
12/10/2010,17384
12/11/2010,5265
12/12/2010,7526
12/13/2010,9218
12/14/2010,16640
12/15/2010,6511
12/16/2010,4858
12/17/2010,5097
12/18/2010,3443
12/19/2010,9015
12/20/2010,9097
12/21/2010,16062
12/22/2010,6635
12/23/2010,5154
12/24/2010,4114
12/25/2010,3279
12/26/2010,7506
12/27/2010,11846
12/28/2010,7356
12/29/2010,7155
12/30/2010,4635
12/31/2010,5414
1/1/2011,8182
1/2/2011,12076
1/3/2011,21893
1/4/2011,8617
1/5/2011,7873
1/6/2011,7684
1/7/2011,9769
1/8/2011,8938
1/9/2011,53003
1/10/2011,11881
1/11/2011,9887
1/12/2011,5548
1/13/2011,5504
1/14/2011,5974
1/15/2011,6126
1/16/2011,13364
1/17/2011,11471
1/18/2011,6527
1/19/2011,6016
1/20/2011,5897
1/21/2011,4835
1/22/2011,4488
1/23/2011,7888
1/24/2011,14049
1/25/2011,6544
1/26/2011,5476
1/27/2011,4890
1/28/2011,4669
1/29/2011,3611
1/30/2011,4363
1/31/2011,8725
2/1/2011,4256
2/2/2011,4224
2/3/2011,5090
2/4/2011,4605
2/5/2011,5092
2/6/2011,8036
2/7/2011,17626
2/8/2011,5647
2/9/2011,3957
2/10/2011,3918
2/11/2011,3495
2/12/2011,2734
2/13/2011,2542
2/14/2011,3056
2/15/2011,2897
2/16/2011,4807
2/17/2011,2858
2/18/2011,3052
2/19/2011,1899
2/20/2011,1844
2/21/2011,2622
2/22/2011,2168
2/23/2011,2281
2/24/2011,2398
2/25/2011,2114
2/26/2011,1778
2/27/2011,1996
2/28/2011,2407
3/1/2011,2323
3/2/2011,2356
3/3/2011,2219
3/4/2011,2119
3/5/2011,1552
3/6/2011,1890
3/7/2011,2315
3/8/2011,2184
3/9/2011,2370
3/10/2011,2022
3/11/2011,1786
3/12/2011,1915
3/13/2011,1936
3/14/2011,1855
3/15/2011,2126
3/16/2011,1663
3/17/2011,1709
3/18/2011,1505
3/19/2011,1306
3/20/2011,1405
3/21/2011,1659
3/22/2011,1862
3/23/2011,2079
3/24/2011,3904
3/25/2011,4152
3/26/2011,2403
3/27/2011,1774
3/28/2011,1974
3/29/2011,2147
3/30/2011,1993
3/31/2011,2159
4/1/2011,1780
4/2/2011,1424
4/3/2011,1623
4/4/2011,1683
4/5/2011,1915
4/6/2011,1788
4/7/2011,1681
4/8/2011,3697
4/9/2011,4884
4/10/2011,3440
4/11/2011,3367
4/12/2011,3670
4/13/2011,5013
4/14/2011,5296
4/15/2011,3127
4/16/2011,1786
4/17/2011,1932
4/18/2011,2974
4/19/2011,3006
4/20/2011,2738
4/21/2011,2645
4/22/2011,2563
4/23/2011,1823
4/24/2011,2123
4/25/2011,3064
4/26/2011,3296
4/27/2011,3572
4/28/2011,4161
4/29/2011,5659
4/30/2011,4737
5/1/2011,3017
5/2/2011,2430
5/3/2011,2221
5/4/2011,2389
5/5/2011,2471
5/6/2011,1923
5/7/2011,1427
5/8/2011,1565
5/9/2011,1763
5/10/2011,1871
5/11/2011,2059
5/12/2011,2051
5/13/2011,1711
5/14/2011,1236
5/15/2011,1588
5/16/2011,1884
5/17/2011,1833
5/18/2011,1979
5/19/2011,1897
5/20/2011,1585
5/21/2011,1228
5/22/2011,1390
5/23/2011,1785
5/24/2011,2023
5/25/2011,3704
5/26/2011,2136
5/27/2011,1520
5/28/2011,1204
5/29/2011,1261
5/30/2011,1642
5/31/2011,1679
6/1/2011,1699
6/2/2011,1907
6/3/2011,1513
6/4/2011,1216
6/5/2011,1225
6/6/2011,1776
6/7/2011,1893
6/8/2011,1522
6/9/2011,1366
6/10/2011,1577
6/11/2011,1324
6/12/2011,1409
6/13/2011,1720
6/14/2011,1336
6/15/2011,1668
6/16/2011,1603
6/17/2011,1641
6/18/2011,1837
6/19/2011,2074
6/20/2011,1856
6/21/2011,1508
6/22/2011,1607
6/23/2011,2321
6/24/2011,2156
6/25/2011,1431
6/26/2011,1965
6/27/2011,1933
6/28/2011,1920
6/29/2011,2065
6/30/2011,1809
7/1/2011,1675
7/2/2011,1620
7/3/2011,1353
7/4/2011,2823
7/5/2011,1998
7/6/2011,1925
7/7/2011,2022
7/8/2011,8103
7/9/2011,6235
7/10/2011,3897
7/11/2011,2390
7/12/2011,1956
7/13/2011,2009
7/14/2011,3991
7/15/2011,2034
7/16/2011,1570
7/17/2011,2179
7/18/2011,2330
7/19/2011,2390
7/20/2011,3156
7/21/2011,2693
7/22/2011,2434
7/23/2011,1836
7/24/2011,1777
7/25/2011,2662
7/26/2011,4435
7/27/2011,3896
7/28/2011,3775
7/29/2011,4398
7/30/2011,8768
7/31/2011,15260
8/1/2011,7691
8/2/2011,5112
8/3/2011,4221
8/4/2011,4127
8/5/2011,3849
8/6/2011,3285
8/7/2011,3415
8/8/2011,3038
8/9/2011,3249
8/10/2011,3406
8/11/2011,3133
8/12/2011,3607
8/13/2011,3113
8/14/2011,4620
8/15/2011,3319
8/16/2011,3529
8/17/2011,3550
8/18/2011,3989
8/19/2011,4048
8/20/2011,4551
8/21/2011,6350
8/22/2011,6160
8/23/2011,6048
8/24/2011,4968
8/25/2011,6016
8/26/2011,5327
8/27/2011,10152
8/28/2011,4497
8/29/2011,4684
8/30/2011,6450
8/31/2011,3785
9/1/2011,3488
9/3/2011,3100
9/4/2011,3356
9/5/2011,9756
9/6/2011,9437
9/7/2011,8318
9/8/2011,17022
9/9/2011,23929
9/10/2011,9055
9/11/2011,16963
9/12/2011,14987
9/13/2011,11476
9/14/2011,5189
9/15/2011,4673
9/16/2011,4585
9/17/2011,5461
9/18/2011,10096
9/19/2011,13370
9/20/2011,13661
9/21/2011,4812
9/22/2011,3958
9/23/2011,3901
9/24/2011,3957
9/25/2011,8351
9/26/2011,28355
9/27/2011,9572
9/28/2011,3926
9/29/2011,4216
9/30/2011,4544
10/1/2011,3621
10/2/2011,7170
10/3/2011,8056
10/4/2011,14140
10/5/2011,4512
10/6/2011,4070
10/7/2011,4297
10/8/2011,3460
10/9/2011,7850
10/10/2011,7210
10/11/2011,6030
10/12/2011,3763
10/13/2011,3544
10/14/2011,3410
10/15/2011,6866
10/16/2011,8864
10/17/2011,8191
10/18/2011,6109
10/19/2011,4546
10/21/2011,3667
10/22/2011,3149
10/23/2011,6847
10/24/2011,26443
10/25/2011,6700
10/26/2011,6375
10/27/2011,7223
10/28/2011,5227
10/29/2011,3826
10/30/2011,11575
10/31/2011,9205
11/1/2011,6575
11/2/2011,5730
11/3/2011,6269
11/4/2011,7097
11/5/2011,4629
11/6/2011,11798
11/7/2011,17001
11/8/2011,6879
11/9/2011,4727
11/10/2011,3701
11/11/2011,3746
11/12/2011,3125
11/13/2011,8711
11/14/2011,12934
11/15/2011,7996
11/16/2011,4625
11/17/2011,4555
11/18/2011,5367
11/19/2011,3843
11/20/2011,6280
11/21/2011,13295
11/22/2011,6153
11/23/2011,4271
11/24/2011,6398
11/25/2011,6173
11/26/2011,4383
11/27/2011,11082
11/28/2011,11006
11/29/2011,18897
